autor,calificacion,contenido,hotel,titulo
ZerohF,50,"...because it was that good. Celebrated my daughter’s birthday-her suggestion.We chose the chef’s tasting meal and asked the chef to choose the dishes for us.,...",Double Knot,When you can’t wait to write a review...
ZerohF,50,"...because we booked a suite to watch the Philadelphia Eagles with the Super Bowl:)But for you non football fans this really is a lovely property. The rooms a,...","The Logan Philadelphia, Curio Collection by Hilton",Best night of my life...
ZerohF,50,"A recent visit was excellent-as usual. We go out of the way to dine here even if we are not staying at Animal Kingdom Lodge. The dining areas in Jambo House are,...",Jiko - The Cooking Place,Favorite Restaurant on Disney Property
ZerohF,40,"The best part of the meal were the oysters. Good selection and well presented. They offered nice wines to accompany the oysters and we were pleased with this pa,...",The Boathouse,It was really somewhere between 'average' + 'very good'
ZerohF,50,"Beware: If you don't like to walk this is not the resort for you. We love to walk and really enjoyed all the windows in the hallways as there were always new an,...",Disney's Animal Kingdom Villas - Kidani Village,Outstanding. As usual.
ZerohF,40,"Good location for access to Delaware River Ferry, Penn's Landing, Spruce Street Harbor Park and fairly close to historical district.Hotel is a bit on the older,...",Hilton Philadelphia at Penn's Landing,Good Location
ZerohF,50,Spend the day hiking the trails and enjoying one of the largest city parks in the country...and be sure to find the Indian statue!,Wissahickon Valley Park,Best Place in Philly...
ZerohF,50,"If you went just for the innovative re-design  of the space that used to be Serafina it would be worth it. The bar is carefully tucked away from dining in a coz,...",The Love.,Nooks + Crannies
ZerohF,40,"Disclaimer: I’m a Disney DVC member and all of my experience is with Disney World resorts. That having been said-I wasn’t that impressed. I would not have paid,...",Disney's Grand Californian Hotel & Spa,First time in Disneyland 
DelafieldBeerGeek,20,"Hilton garden inns used to provide breakfasts. Now they only give us diamond members $10 credit or points-not both. We stayed 3 nights because we got an email t,...",Hilton Garden Inn New York/Midtown Park Ave,No $10 credit-rip-off huh e
DelafieldBeerGeek,50,This is a wonderful park with many committed volunteers and Rangers! The Friends of Lapham Peak are doing a great job too!,Lapham Peak,Great park-Great Rangers!
DelafieldBeerGeek,50,"Our family stayed here for a funeral we attended. Sarah and Nick were wonderful. The views are beautiful, and the rooms are tastefully decorated, new, and clean,...",Mulranny House B&B,"Beautiful view, excellent breakfast, wonderful owners"
DelafieldBeerGeek,50,"We've eaten here numerous time and have never been disappointed.Great staff, good food, at a fair price. It getting better all the time.",Mazatlan,Getting better all the time!
DelafieldBeerGeek,10,"We arrived after midnite and they had no airport pickup. Upon checkout they advised us that the scheduled airport transfer only runs to 10am-then it is on call.,...",Hampton Inn & Suites Norfolk-Airport,Watch out for airport transport
traveltime841,40,"Was here for brunch on the first Saturday of May - very enjoyable experience overall. Buffet food slightly better than expected, friendly service, well designed,...",Ten Palms Restaurant,"Mostly Good, but one employee nearly ruined it"
traveltime841,40,"Needed a hotel near PBI airport for a two night stay and selected this hotel given that I am an IHG platinum member. The biggest drawback is that the shuttle se,...","Holiday Inn Palm Beach-Airport Conf Ctr,",3.5 Stars - Basic but decent except for limited airport shuttle service
traveltime841,50,"Another find from the Cheap Eats TV show, this is a must-visit while you are in Asheville - just plan your timing accordingly. We got there 5 minutes after open,...",Hole Doughnuts,Freshly Made and Hot = Yum
traveltime841,50,"We had heard about Luella's from the Cheap Eats TV show and finally had a chance to try it - this visit was the ""south"" location in the nicely designed Biltmore,...",Luella's Bar-B-Que,Best BBQ in Asheville ... Perhaps US
traveltime841,30,"Relatively new construction so all the furniture still looks good. Good location if you are going to the Biltmore Estate and not a long drive to downtown. Bigge,...",Courtyard by Marriott Asheville Biltmore Village,Bring Heavy Duty Earplugs if Given A Road / Railroad Facing Room
traveltime841,40,"We chose the restaurant so we could have a sit-down meal before doing the audio tour of the house on the beautiful Biltmore estate - depending on the season, th,...",Stable Cafe,Best sit-down dining option before Biltmore House audio tour
traveltime841,40,"Nice restaurant in downtown with a bit of a farm-to-table vibe and a bit of an eclectic menu. Started with the PEI mussels which were in a very tasty broth with,...",The Market Place Restaurant,Come Downtown for The Mussels
traveltime841,40,"After the nearby Subway was not open twice on Sunday mornings when they should have been, my friends and I once went to the Argonaut Diner instead (see separate,...",Dunkin',Recently Remodeled
traveltime841,20,"Having had a good experience here on my first visit a few months ago, I tried to bring my friends on two recent Sunday mornings before heading out for the day. ,...",Subway,Not open at hours on door / internet
traveltime841,20,"Finally had a chance to try this classic-looking diner that I have passed by several times. Had decent & friendly service, the traditional multi-page diner menu,...",Argonaut Restaurant & Diner,So-So Diner
traveltime841,40,"As a Timmy's fan, I was very happy to have one last opportunity to grab an iced beverage before returning to the US. It is not the most efficient set up, someti,...",Tim Hortons,My oasis at Terminal 1 Pearson Airport for US Departures
traveltime841,40,"Finally getting to visit Canada again, so my first place to grab an iced coffee or cold brew is of course Timmy's, the ubiquitous coffee and donuts chain of Can,...",Tim Hortons,Timmy's for the win
traveltime841,30,"As I eat more plant based food of late, I was looking forward to trying this place out. Friendly employee suggested the VG Classic, a beyond burger with cheese,,...",Veggie Grill,"Plant Based is good, Taste is just ok"
traveltime841,40,"Spent five days at this very large conference-friendly hotel with more pros than cons. Pros: elite status recognized at check-in, nice club lounge for elites, v,...",Sheraton Centre Toronto Hotel,Good Hotel for a Conference
traveltime841,30,"My one night stay started out well with a very friendly check-in, HHonors elite status recognition including two bottles of water, and being quickly switched to,...",Hampton Inn by Hilton Manhattan Grand Central,Great Service - not as great a room
traveltime841,40,"Enjoyed my one night at this property in a somewhat quiet neighborhood. Recognized at desk as elite HHonors member and received my bottled water. Room I had bee,...",Hilton Garden Inn New York/Midtown Park Ave,Very Good Stay
traveltime841,40,"Having just spent a night here, I can see promise once the ongoing renovations are completed. Here is my usual pros/neutral/cons look at the hotel:Pros - grea,...",DoubleTree by Hilton New York Midtown Fifth Ave,"After renovation finishes, will likely be very good NYC option"
traveltime841,40,"Sarge's has replaced Second Avenue Deli as my go-to in Manhattan of late - probably because of all the options! If you have a friend who can't decide what to ge,...",Sarge’s Delicatessen & Diner,Tasty Classic NY Deli
traveltime841,40,"Some of the Bareburgers have not survived the pandemic, so the one in Murray Hill has become the one that I frequent the most. I love that they let you fully cu,...",Bareburger - Murray Hill,"Lots of ""healthier"" options"
traveltime841,40,"This review is for the Midtown East site, not sure there is much difference between the locations. Having lost my favorite place for breakfast wraps recently, I,...",Lenwich,Good in a pinch
jlesni464045,40,"Hotel is located on Park Avenue, 5 minutes walk to Empire State Building, average side room with very good housekeeping service, front desk staff members are ve,...",Hilton Garden Inn New York/Midtown Park Ave,Good location
vsraju54,30,"The property is well located but there is too much noise and the pillows are not comfortable to sleep on. Did not try the restaurant. If they do something about,...",Hilton Garden Inn New York/Midtown Park Ave,Business Trip
Corkyboom,20,"The hotel and the room looked fine but the bathroom was dirty.In the shower I noticed long hair that didn't belong to me and there were coffee stains on the ba,...",Hilton Garden Inn New York/Midtown Park Ave,Dirty bathroom
Corkyboom,50,"I enjoyed myself through the whole stay, thanks to the staff and the fancy facility.I stayed at the resort for 4 nights with my family, the rooms were outstand,...",Nirvana Mediterranean Excellence,Excellence it is!
Corkyboom,50,"I’m noticing that many boutique hotels in the city are really small these days, including the rooms CitizenM offers.I stayed in this location by myself so the ,...",CitizenM New York Bowery,The size doesn't matter.
Corkyboom,20,"This is definitely not a 4 star hotel, maybe a 3 star…The location isn’t really visible from the street and once entering the hotel it’s not surprising seeing ,...",DoubleTree by Hilton New York Midtown Fifth Ave,Rundown hotel
Corkyboom,50,"I stayed at the Hilton Garden Inn Bucharest Old Town for 2 nights.The staff was very friendly, they helped us with all our needs.The breakfast was delicious, ,...",Hilton Garden Inn Bucharest Old Town,Cant get wrong with this place
Corkyboom,10,"The reason I went to Red Angus Steakhouse was because of the reviews on Tripadvisor.I have no idea why this place has so many good reviews, did people actually,...",Red Angus Steakhouse,"Beware, don't go!"
Corkyboom,50,"Great place and great value!The Artezen Hotel is located less than a block from most of the major train stations therefore its easy commuting back and forth fr,...",Artezen Hotel,Loved my stay!
Corkyboom,50,"My experience at Yeni lokanta blew me out of my head. The place was full when I arrived but was wasn't too loud,I had a nice romantic and delicious dining expe,...",Yeni Lokanta,Tasty and refined cuisine
Corkyboom,50,"The hotel staff were extremely welcoming and helpful from the moment I stepped in the hotel.The rooms we a clash between a modern look and the preserved histor,...",The Bank Hotel Istanbul,Amazing place to stay
Corkyboom,40,"The room I stayed in is renovated and clean, the decor of the rooms make it look nice although the toiletry could be improved.Taylor the receptionist was very ,...",Harrah's Las Vegas Hotel & Casino,Good location/price
Corkyboom,30,"There were bulbs that were out in my room and housekeeping didn't show up during my 2 night stay. The rooms seemed like they were a bit small but I couldn't co,...",W Chicago - Lakeshore,Just an OK hotel...
Corkyboom,50,"large rooms, beautiful tropical looking pool, kind staff deserves a good review.There are a few details the hotel has to clean up but the rooms were clean and ,...",Embassy Suites by Hilton Fort Lauderdale 17th Street,Great stay!
Corkyboom,30,"I've stayed in a few W hotels and this one defnetly isn't as nice.The staff was helpful and they warned me that the room they had for me may be loud because it,...",W Hoboken,Not worth the price!
Amy_and_Jeremy,50,"The hotel is located directly across from the #6 subway line, which was super convenient for trips all throughout Manhattan. We were pleasantly surprised to get,...",Hilton Garden Inn New York/Midtown Park Ave,Subway stop outside of the hotel!
Amy_and_Jeremy,40,"The good: Location- in walking distance to all museums, tourism center, restaurants, and shopping. Staff- everyone we encountered was more than friendly and h,...",Embassy Suites by Hilton Charleston Historic District,Location and staff 5*
Amy_and_Jeremy,50,"We made reservations for a Friday night, glad we did- as the place was packed! It was busy for good reason, the food and drinks were delicious. We ordered a pis,...",Pisco y Nazca,Great tasting menu!
Amy_and_Jeremy,50,"My wife and I just spent a week here in late July.  We stayed in one of the Infinity swim-up suites with a beautiful ocean view.  Our room was spacious along wi,...",El Dorado Seaside Suites,Relaxing and enjoyable
Amy_and_Jeremy,50,"We originally booked our stay in the hotel and upgraded to the Tower. It was definitely more updated and cleaner from what we saw. Upon check-in it was communic,...",Grand Traverse Resort And Spa,Stay in the Tower for a great experience!!
Amy_and_Jeremy,40,"The hotel was taking Covid precautions, masks were worn by every employee we encountered and sanitizer was available for guest use at the front desk. The pool w,...",Best Western Lakewinds,Clean hotel
Amy_and_Jeremy,50,"The hotel was a great value for the location. We took the Metra to downtown Chicago and avoided high parking fees by staying outside of the city. The room itsel,...",Hilton Garden Inn Chicago / Oakbrook Terrace,Super clean room!
Amy_and_Jeremy,40,"If you must see seals while visiting the west coast, this was a great spot to watch them play and hang out. The drawbacks are huge crowds, traffic, and limited ,...",La Jolla Cove,"Seals were the highlight, but very crowded!"
Amy_and_Jeremy,50,"The views are incredible and worth the hike! We saw dolphins, lizards, and amazing views of the Pacific Ocean. The Guy Fleming Trail was great to do with kids. ,...",Torrey Pines State Natural Reserve,Beautiful scenery of the Pacific!
Amy_and_Jeremy,50,"The Safari Park is very well laid out and visually appealing. It can be an immersive experience, we were even allowed to pet a kangaroo. The Africa area is beau,...",San Diego Zoo Safari Park,Best zoo experience!
Amy_and_Jeremy,50,"The location of the restaurant cannot be beat. The views of downtown San Diego and the San Diego Bay make for a beautiful setting and a memorable experience. We,...",Peohe's,Excellent seafood dinner with a view to remember!
Amy_and_Jeremy,40,"The hotel is in an awesome location- a short walk to the Ferry Landing, multiple restaurants/bars, and shopping. During the summer months a free shuttle will ta,...",Best Western Plus Suites Hotel Coronado Island,"Great location, perfect for a family!"
Amy_and_Jeremy,50,"If you are looking for a quick weekend getaway or first time cruiser, the Mariner is a great choice. We stayed in a Promenade Interior room which felt large and,...",Mariner of the Seas,Cococay is worth every penny!
Amy_and_Jeremy,40,"This was our second experience at Bartaco, and it did not disappoint. The restaurant's concept is different than most Mexican restaurants. The menu is set up by,...",bartaco,"Beautiful restaurant, unique take on Mexican food."
Amy_and_Jeremy,50,"This was our 3rd time visiting Gold Hill Inn in the past 5 years. The drive up can be a bit nerve wracking, but the views and scenery are amazing. Make sure to ,...",Gold Hill Inn & Blue Bird Lodge,Memorable Trip up in the Mountains
Amy_and_Jeremy,40,"Murphy's Tap House is in close proximity to the highway and surrounding hotels. They had an impressive craft beer list and a large food menu. There was also an ,...",Murphy's Tap House,Good Variety of Craft Beer
Amy_and_Jeremy,50,"The restaurant had a good balance of sweet and savory brunch items. Three guests at our table raved about the 740 Benedict w/corned beef. The menu also featured,...",740 Front,"Great Sunday brunch, unlimited mimosas!"
Amy_and_Jeremy,40,"The hotel is about 15 minutes away from Downtown Boulder, but much more affordable. The room was clean upon arrival, although a bit outdated and small. The brea,...",Hampton Inn Boulder / Louisville,Great Alternative to Downtown Boulder
Amy_and_Jeremy,40,"The location was great, being in the heart of downtown. The tasting room was busy, however, there was only one person giving wine tastings. She did an amazing j,...",Baroda Founders Wine Cellar,Nice tasting room in downtown
Amy_and_Jeremy,50,"We were very pleased with our experience at Rye Belles. The service was professional and prompt, good wine options, and great cocktails. The firecracker shrimp ,...",Rye Belles,Great meal in the heart of St. Joe!
Pat F,40,"We were there for an early dinner.  I had the chicken wrap with fries,  which was very large.  I could only eat half.  Husband had the Reuben with fries.  He sa,...",Jack Dempsey Restaurant,Good Portion Size
Pat F,30,"Husband and I both had great chicken noddle soup, f rom the self serve bar.   It was hot not just warm. We may have opted for soup, but, there was a large varie,...",Open Kitchen,Breakfast and Lunch
Pat F,20,"Slow service  Husband had the french onion burger.  The french onion soup was bland broth, luke-warm.  Burger was good.  I had the Trash Can Nachos with chicken,...",The Ainsworth - Midtown,Average
Pat F,40,Multiple entrances and levels inside.  Seats for the game were comfortable. Clean bathrooms.   Large variety of food and drink vendors.,Madison Square Garden,Easy Access
Pat F,40,"I had the chicken wrap and fries.  The wrap was huge and I could only eat half.  Husband had a French Onion Burger and fries.  Burger was tasty.  We enjoyed bot,...",Dempsey's Pub,Good Portion Size
Pat F,40,"My husband really liked this.  I enjoyed it, but not as much as him.  They had a submarine there also, but, the wait was over an hour to do this.  The areas tha,...","Intrepid Sea, Air and Space Museum Admission Ticket","Sea, Air and Space - WOW"
Pat F,40,"Very interesting and informative.  Several floors from the beginning of New York City to current days.  One floor includes a refreshment stand with seating for ,...",Museum of the City of New York General Admission Ticket,Very Interesting
Pat F,20,"This is good for getting from one point to the next only if you are willing to do some walking to reach specific sights.  It make a route that just doesn't get ,...",Hop-On Hop-Off in New York City,Not That Great
Pat F,30,"Walkable to Madison Square Gardens, Empire State Building, Macys and other shopping.  Restaurant for additional cost is attached.   Our room was next to the ele,...",Hilton Garden Inn New York/Midtown Park Ave,Walkable to some sites
Pat F,40,"We have been coming here for years.  Great location with large beach area.  Was happy that they now provide chairs and umbrellas for the beach and two beach tow,...",Sea Crest Apartments on Siesta Key,Great Location
Pat F,30,"Very good bar-b-que. my husband had a large sandwich, coleslaw and smoke house beans. He loved the beans. I had the chili and it was ok. It was very meaty, but ,...",Rocco's Smokehouse Grill,Large portions
Pat F,50,"First time visiting and we had pizza. The toppings was plentiful and the crust was wonderful. Cheesecake was great and highly recommend the chocolate cake. Be w,...",Sal's By Victor,Excellent
Pat F,20,"Right off the interstate with plenty of food options in the area.   Two stories with stairs only.   Rooms included coffee service, frig, and microwave. Bed has ,...",Days Inn by Wyndham Florence/I-95 North,Economical
Pat F,40,"We welcomed the indoor air conditioned space after walking around in the heat of the day. Staff wore mask and gloves. I had the crab balls. They were great. Lig,...",Florida Cracker Cafe,Indoor or outdoor seating
Pat F,40,"All of the typical breakfast selections available along with Eggs Benedict options and several handheld breakfast options. We sampled the eggs, bacon, sausage a,...",Beachside Diner,Great breakfast selections
Pat F,40,"Generous portion of shrimp and grits. Topped with mushrooms, bacon, green onions and a white cheese.  The dish also included peppers and was a little spicy.  Se,...",A1A Ale Works Restaurant & Taproom,Different twist on Shrimp and Grits
Pat F,40,"You can beat the beautiful view when sitting outside. I had fried shrimp basket. Shrimp were large and fries were well prepared nmh friend had fried clam strips,...",Woody's Waterfront,Waterfront
Pat F,50,"All staff had on mask and tables seated appropriately. I had the balsamic chicken with goat cheese with fresh seasonal mixed vegetables. DELISH!  Another had la,...",CD Roma Restaurant,Worth a Repeat Visit
Pat F,50,"Two of use had quiche, which they serve with hollindaise sauce and an additional side. We both had grits, and they were good. The quiche was a generous portion,,...",Sweet Sage Cafe,Great Breakfast
Pat F,40,"I had the shrimp n grits. The shrimp was dusted with corn meal and the dish was topped with fresh vegetables.  Delish. My husband had the roasted chicken. This ,...",Doc Ford's Rum Bar & Grille Ft. Myers Beach,Enjoyed
Thaddeus K,20,"Horrible, rooms are tiny absolutely no sitting area except for one chair and desk chair and cant barely walk past the desk chair when at desk. Never stay here a,...",Hilton Garden Inn New York/Midtown Park Ave,Horribly small rooms
Thaddeus K,50,"Forget those crappy reviews this place was great. Service, portions, value was crazy good portions. Tasteful. Would go back in a heartbeat.",The Corner Room Kitchen & Bar,awesome
Thaddeus K,20,"So long before could even get to order a drink let alone get one. Haddock tacos barely had any fish in them. Took forever to get served. Way understaffed ruined,...",Sea Dog Brewing Company,Horrrible service
Thaddeus K,20,"I ordered the chicken parmenan.It came without any CHEESE !Took forever to get hostess attention.She never rushed to correct the order mistake.Took forevert,...",Ida's Restaurant,poor cooking and service way too busy not enough staff.
Thaddeus K,20,"I prepaid for room. arrived two hours after check in at 5pm. Room not ready !Offered a drink at bar but would  have to wait another hour at least for housekeep,...",Courtyard by Marriott Providence Warwick,NOT READY
Ddan7777,50,"I was visiting family in Singapore. I went to my brother's place of work. Instead of going home using TADA (one of Singapore's equivalents of Uber), I decided t,...",Singapore Mass Rapid Transit  (SMRT),"can't bring food / drinks on trains, including no water bottles: this is why no ""pizza rat"" in Singapore MRT"
Ddan7777,40,"I am Titanium level with Marriott-brand hotels.  As this was my first time in Australia. I wanted an upscale hotel in a good location.  Right across from beauti,...",Sheraton Grand Sydney Hyde Park,"could be a genuine 5-star hotel: some staff excellent (e.g., Tracy), some not-so-good (e.g., concierge desk)"
Ddan7777,50,"I have been to Greensboro before to eat, this is a new place (the staff told me that it has opened during the last year). It is a welcome addition. I ordered th,...",Romeo's Vegan Burgers,good new place in Greensboro with healthy alternatives
Ddan7777,50,"I was visiting a family member who was a UNSW student.  He goes to this place for breakfast frequently, it is about a 1/2-mile walk from his on-campus dormitory,...",De Nero's Cafe,"sorta' student hangout for UNSW crowd, nothing fancy but still good place for breakfast"
Ddan7777,50,"I had just arrived in Australia for the very first time.  We were trying to find a different restaurant but it was closed and my companion was too hungry to wai,...",Betty's Burgers,1st taste of food in Australia:  pretty good restaurant
Ddan7777,50,"It was a Sunday night past 8:30 p.m. and we wanted to eat dinner.  Many places in Raleigh were closed, so we tried to give this one a try. We were glad we did: ,...",Rudinos Pizza and Grinders,rooftop during summer  weather (May) is pleasant
Ddan7777,50,"I had an early morning flight to the US from Sydney, so I was pleased to be able to go to the Sky Team lounge.  It was actually a bit difficult to find in the a,...",Sydney Australia Airport Sky Team lounge,"fairly good airport lounge with showers, ""phone booths,"" and a view of the airplanes"
Ddan7777,10,"The synagogue is beautiful inside and the location in downtown Sydney makes for an excellent opportunity for visitors.  However, the people who run security for,...",Great Synagogue of Sydney,beautiful synagogue in great location but security staff lack skill and respect for visitors
Ddan7777,50,"We were in the area of Macquarie University Hospital and decided to visit the very large mall nearby. As far as size of the mall, we were not disappointed, ther,...",Khao Pla,"Asian restaurant in massive shopping mall near Macquarie University Hospital, delicious food"
Ddan7777,50,"I was visiting Australia for the very first time, I was anxious about the possibility of trying healthy types of food Down Under.  Not only was the food tasty a,...",Shift Eatery,truly excellent vegetarian food Down Under 
Ddan7777,50,"While visiting Australia, we stopped in for dinner late at night. This Chinese restaurant was open, it apparently caters to UNSW people, both faculty members an,...",Kingsford Chinese Restaurant,"now apparently called Wewok, pretty good Chinese food"
Ddan7777,50,"While visiting Australia, we went shopping in this multi-floor shopping complex. Apparently, in Sydney there are many of these types of shopping facilities.  We,...",Nanyang Tea Club,"visiting Australia, found this place in sort of food court area in multi-Floor shopping center, good Asian food"
Ddan7777,50,"I was visiting Australia for the very first time. It was interesting to try Taiwanese cuisine. We ordered a dessert, cheese pancakes. They were good. Restaurant,...",Tea Plus,"visiting Australia so try Taiwanese cuisine, bathroom facilities interesting"
Ddan7777,50,"I flew in from Australia returning to my home through LAX airport. I stopped in early during a weekday morning in May at this Delta Sky Club. It was packed, des,...",Delta Sky Club,"very crowded ( what do you expect in LA?), otherwise, OK "
Ddan7777,50,"We stopped for lunch.  This restaurant/bar is in downtown Raleigh on a busy street, Wilmington Street.  We ordered the Chicanos chicken with corn tortillas, Chi,...",Centro,"interesting atmosphere (lots of wild Mexican/Hispanic stuff), good food, nice location"
Ddan7777,50,"We stopped for lunch at Centro Mexican restaurant, but we saw the sign for Gallo Pelon  (actually, it is the same sign as for Centro).  So, the waitress working,...",Gallo Pelón Mezcaleria,"beautiful space, including an outdoor patio, upstaris from Centro Mexican restaurant"
Ddan7777,50,"I stopped for breakfast.  I ordered eggs and whole wheat toast.  I like that the menu tells you the calorie content of the food.  The service was average Waffle,...",Waffle House,fairly good Waffle House overall
Ddan7777,50,"We stopped and had some snacks:  the Impossible sandwich, coffee, steamed milk, and the Target dog ""lollipop.""  The food was good.  One thing we noticed was tha,...",Starbucks,inside new Target is a pretty good Starbucks with excellent customer service
Ddan7777,50,"We ordered the turkey panini with a salad, lentil soup, tomato soup, tiramisu, a steamed milk, lemonade, and a couple of those luscious-looking desserts. We als,...",Dulce Cafe,good coffee house with (lots of) fattening foods
Ddan7777,50,"Dine in | Dinner | $1–10We stopped to sit and talk at this Waffle House on a Sunday afternoon. It was not crowded, so we had our choice of tables. Unfortunate,...",Waffle House #2052,loud jukebox music and cold temp but still pretty good restaurant
,10,"The bed was basically on the wall you. I was barely able to get to the bed on the wall side.The air conditioner kicked in every 10-15 min at night made a lot o,...",Hilton Garden Inn New York/Midtown Park Ave,small room and noise fron aircondition
Deborah L,50,"Amazing, sustainable hotel with excellent location. The service at the Front Desk was attentive, friendly and fast. Coffee, espresso and pastries are available ,...",Radio Hotel,Amazing hotel in Washington Heights
Deborah L,50,"Our guide, Jennifer E, and our driver, Georges, did an amazing job guiding the tour. Jennifer made the trip very interesting by telling us about the history of ,...",Evan Evans Tours,"Great day trip to Windsor, Bath and Stonehenge "
Natasha D,30,"Check in was easy and staff was nice and friendly. Pros it’s near subway station and food places in walking distance. Cons no ice machine in hall have to get ic,...",Radio Hotel,New but missing the basics
Natasha D,50,"The location is in a wonderful spot downtown and the staff from the front desk, security and door man were all great. The hotel was nice and clean and the art e,...",21c Museum Hotel Chicago,Best hotel in the area
Natasha D,10,"The decor is old and needs updating. We both had something off the specials menu which shows no price. I had shrimp Alfredo with crab cake on top and my hubby h,...",Mo’s Seafood,Worst seafood I’ve ever had
Natasha D,50,"The tour was great and the wine tasting was even better. Greg was excellent and had a great sense of humor. And with the wine tour package you get wine glasses ,...",Florida Orange Groves and Winery,Great hidden treasure.
Natasha D,20,"the only thing I could say was the free breakfast was good. The rooms were dusty and not very clean, water pressure was very low. Switch rooms due to not being ,...","Country Inn & Suites by Radisson, Tallahassee Northwest I-10, FL",not worth the money
Natasha D,50,"Food is great the spicy white fish is the best!! The staff is awesome as well 3rd time going. The captain does a great job announcing the sites, you even have a,...",Calypso Queen,Father's day brunch
Natasha D,10,"Please save your money and time. We stayed labor day weekend; checked in Friday everything was good front desk polite stayed in room 825the carpet had a wet ord,...",Pullman Miami Airport Hotel,no answers!!!!!!!
Natasha D,40,"The scenery was beautiful and the food was very fresh, I had the sesame chicken with the fresh season vegetables of the day.",Front Porch Cafe,Good food and very friendly wait staff
Natasha D,50,"Food is always good, been going here since a little girl. The only bad thing is the long wait sometimes, always best to call in and eliminate the wait.",Brocato's Sandwich Shop,Good food long waits
Justyna,10,"I definitely do not recommend this hotel! This is going to be a long review, but I advise you to read it already. I booked the hotel through roomsxxl.com two mo,...",Radio Hotel,Do not stay here!
Justyna,10,"Literally everything was awful about this hotel!  First of all, we got a room with a broken bathroom - water was all over the floor, because the toilet was leak,...",Arabesque Hotel,The worst hotel I’ve ever been!!!!
Juanita B,10,"DO NOT STAY AT THIS HOTEL!!! DEPLORABLE CUSTOMER SERVICE. They offer no un understanding, grace, or flexibility nationwide for travel problems. We were impacted,...",Radio Hotel,Horrible Customer Service 
Lorraine D,40,"Everything is spanking new and modern so if you want a hip place, this is it. I had a large corner room with fabulous views. Bathroom is gorgeous, but must not ,...",Radio Hotel,"Clean, hip, very modern!"
Ronald L,20,"Basically, I haven't been able to go. Expedia listed this hotel as midtown, and I liked the price and look of the hotel. I booked for July, then realized my err,...",Radio Hotel,Same day cancellation not refunded
HELRAM,40,"This new hotel is in northern Manhattan, one  of a small number.  The room was very small but a lot of thought had gone into gone into the placement of each art,...",Radio Hotel,"Small, very clean rooms"
HELRAM,30,"The group was diverse and from lots of parts of the US. But the focus of the tour was to explore the interesting foods of the region. The tour started with grid,...",Savannah Culinary & Cultural Walking Food Tour,Not worth the energy
HELRAM,50,"We stayed here for 5 nights and loved the place and it’s location. Emad greeted us and set the standard for first rate service. The rooms was spacious and clean,...",Inn at Venice Beach,Grear
HELRAM,50,"We had a work dinner meeting here. The room was quiet so we could hear each other. The wine list was sophisticated, satisfying all interested. The salads were g,...",Napa Valley Grille,Simply delicious
HELRAM,50,"We visited the bakery on Noel Night, a big celebration in Detroit. Avalon was packed and people were comfortable waiting 10-15 min in line. We at chicken pot pi,...",Avalon Cafe and Bakery,Just Great
HELRAM,50,"Our family, 5 adults and one infant, spent the few days before a family Christmas in downtown Detroit. What a great choice. The Aloft was well situated in the m,...",Aloft Detroit at The David Whitney,Beautiful
HELRAM,50,"We were a group of 6 sisters getting Sunday brunch. While the restaurant did not seem overly busy, there were multiple delays. When the food arrived, the manage,...",Free Rein,Making it Right!
HELRAM,40,"Everyone in Catania encouraged us to visit the fish market. It was worth the time. best to go in the am when everything is freshest. Lots to see and smell but a,...",Fish Market,Interesting if you like fish
HELRAM,50,"We were visiting Rome and wanted to listen to some opera without taking the time to acquire tickets.As we were walking near the Castel St. Angelo, we happened a,...",Opera Greatest Hits and Romantic Piano,A great nite out
Donna D,50,"Cute, modern hotel. The staff is very friendly and readily accommodated our desire to have our 3 rooms all on the same floor. It’s close to the train/subway, an,...",Radio Hotel,Modern hotel in Washington Heights/Manhattan 
AmyLee76,20,"I'm a little torn about giving Orion's Roof a lackluster review since some aspects of the meal were really good. But since I hold a fine dining establishment to,...",Orion's Roof,"Nice view (while it lasts), food value is poor"
AmyLee76,20,"I was not very impressed with Rado Hotel.We had a standard room, and it really only serves the most basic of needs:  A bed and a bathroom.The bed itself was s,...",Radio Hotel,Not worth the price for just the minimum basics
AmyLee76,10,"I can’t rate the food or drink at Jalao because we ended up leaving.  But the service was really lousy.It started with the hostesses, both of whom were clearly,...",Jalao NYC,Jalao needs to hire better employees
AmyLee76,40,"I was taken to visit Humble Monk by a friend who lived near this nanobrewery.   The vibe is pretty typical for similar beer establishments that have popped up,...",Humble Monk Brewing,"Good beer, if the keg hasn't run out"
AmyLee76,50,"Nara is a cozy restaurant, clearly a favorite for many locals, but welcoming to newcomers as well.  The service was good (for a sushi restaurant, you're always ,...",Nara Sushi,"Fresh sashimi, delicious rolls"
AmyLee76,50,"This was my first bungy jump, so I decided if I was going to spend a lot of money, I was going to spend it on the best possible experience.  With the Nevis High,...",Queenstown Nevis Highwire Bungy Jump,"Just 5 seconds of exhilaration, but worth every penny!"
AmyLee76,20,"We booked our family for a middle-of-the-day (2PM) cruise through the website, paid by credit card, and showed up a good 30+ minutes ahead of the scheduled depa,...",Maori Rock Carvings Eco Sailing Taupo,Booking problems and inflexible captain ruined our plans
AmyLee76,40,"We had seen nature shows that featured glowworms, so when in New Zealand, it was on our family's must-see list.  It was a bit of a drive from where we were vaca,...",Waitomo Glowworm Caves Guided Tour,A unique experience to do once
